iter	Logloss
0	0.6677865704
1	0.6437660396
2	0.6224096765
3	0.605344657
4	0.5886643139
5	0.5761835289
6	0.5640546808
7	0.5539456904
8	0.5429312668
9	0.5340948405
10	0.5256144458
11	0.5195815384
12	0.5134224185
13	0.5090191372
14	0.500314504
15	0.4941905147
16	0.4897259828
17	0.4840930843
18	0.4799583546
19	0.4759539323
20	0.471802195
21	0.4667722817
22	0.4630446552
23	0.4602222084
24	0.4562701208
25	0.4531688759
26	0.4506393486
27	0.4473017024
28	0.4440612485
29	0.4419659989
30	0.4394913957331	0.436906441332	0.4460923076
333	0.4333489614334	0.431931528435	0.4411824477
36	0.4403232972
37	0.4387497444
38	0.4379316918
39	0.4368237913
40	0.435054424
41	0.4337527664
42	0.4328194906
43	0.4317761618
44	0.4303731677
45	0.4288360188
46	0.4280557662447	0.426884599848	0.4112449603
49	0.4094671475
50	0.4081308547
51	0.4071080214
52	0.4062599867
553	0.4196806299554	0.4188374155555	0.4083354297
56	0.40753474657	0.4017304066
58	0.4008625192
59	0.399137347
60	0.3981303122
61	0.3963507761
62	0.3953570425
63	0.3944444958
64	0.3936179682
65	0.3929528257
66	0.3922337942
67	0.3912831185668	0.390580034
69	0.389256686
70	0.3882622916
71	0.3876770183
72	0.3872604955
73	0.3864950993
74	0.3860302033
75	0.3852875974
76	0.3846856657
77	0.3839476661
78	0.3833867882
79	0.3824754393
80	0.3819125815
81	0.381537625
82	0.3809570886
83	0.3803009108
84	0.3796045474
85	0.3789041218
86	0.3781016654
87	0.3774227097
88	0.3765836887
89	0.3751595008
90	0.3745913294
91	0.3735857757
92	0.3730254212
93	0.3727487277
94	0.3720838391
95	0.3716667216
96	0.3711127333
97	0.3706693585
98	0.3702539209
99	0.3699529675
100	0.3693821956
101	0.3690478861
102	0.3685536411
103	0.3673623418
104	0.3665776001
105	0.3661682483
106	0.3657217564
107	0.3652592306
108	0.3648928205
109	0.3642398428
110	0.3637771419
111	0.3632997159
112	0.3630167148
113	0.3626774926
114	0.3623074728
115	0.3617989182
116	0.3614484469
117	0.36081137921118	0.3603888104
119	0.36013652512120	0.35983786512121	0.35946286912122	0.3592312896
123	0.35877064312124	0.3585005255
125	0.358144386
126	0.357670016
127	0.3574265928
128	0.356828946
129	0.3562815028
130	0.3560130279
131	0.3556146785
132	0.3553764015
133	0.3549575826
134	0.3544567157
1135	0.3621494785
136	0.3617484123
137	0.3615364446
138	0.360780232139	0.3527772721
140	0.3525236664
141	0.3520077414
142	0.3517462735
143	0.351531072
1144	0.35808424751145	0.3577577355
146	0.3574936686
147	0.3572586026
148	0.3571238603
149	0.3565616152
150	0.3559442747
151	0.3552982971
152	0.3549854315153	0.354677782154	0.3477570888
155	0.3470391396
15156	0.35368410515157	0.3534865801
158	0.3531812429
159	0.3527080146
160	0.3523246255
161	0.3521039548
162	0.35192995163	0.3441186532
164164	0.3510872387
165	0.3505166	0.3602686078
167	167	0.3424205168	168	0.3421032327
169	0.3417644239
170170	0.34879274171171	0.34861096172172	0.34807702173173	0.34782481174174	0.34717019175175	0.3469667654
176	0.34652185177	0.3395590162
178	0.3391557361
179	0.3389543956
180	0.3385082219
181	0.3381960706
182	0.3371995659
183	0.3370089074
184	0.3367033945
185	0.3364663696
186	0.3358979962
187	0.3355305196
188	0.3352012978
189	0.3348033147
190	0.3344953886
1191	0.3410863804192	0.3336275247
1193	0.34058156641194	0.340309865195	0.3328852331
196	0.332529707
197	0.332318701
198	0.3319248847
199	0.3316402511
200	0.3313248757
201	0.3310237511
20202	0.33779422020203	0.33737833420204	0.33710230520205	0.33676656020206	0.336312730207	0.329344411
208	0.3289598888
209	0.3287565258
210	0.3284779619
211	0.3282888393
2212	0.33420023852213	0.3339723693214	0.3276058969
215	0.3270452574
216	0.3267753048
217	0.3264282932
218	0.3261249221
219	0.3258598547
220	0.3254868085
221	0.3250748162
222	0.3247891294
223	0.3245364698
2224	0.3304566746225	0.3237201374
226	0.3232286215
227	0.3229673098
2228	0.3291394247
229	0.3288702061
230	0.3285875277231	0.3219464072
232	0.321640562
233	0.3212136821
234	0.3208919324
235	0.3205929487
236	0.3202653966
237	0.319803889
238	0.3193388635
23239	0.3261759475
240	0.3259808729
241	0.3256907227
242	0.325546239
243	0.3250884127244	0.3176120477
245	0.317328006
246	0.3170017978
247	0.3165432875
248	0.3162055588
249	0.3158857996
250	0.3155384729
251	0.3153612684
252	0.3149826392
253	0.3146708842
254	0.3145239015
255	0.3142205251
256	0.3137703413
257	0.3134708777
258	0.3130805367
259	0.312776252
260	0.3124383941
261	0.31210294
262	0.3119319
263	0.3115591151
264	0.3112218229
265	0.3107820499
266	0.3104473536
267	0.3100692692
268	0.3098356537
269	0.3094495492
270	0.309322773
271	0.3091137892
272	0.3088734566
273	0.3087229769
274	0.3085149232
275	0.3081902681
276	0.3079083047
277	0.30775939
278	0.3075041235
279	0.3072974381
280	0.3070228025
281	0.3066414158
282	0.3063246231
283	0.3060044075
284	0.3056515816
285	0.305464205
286	0.3050407777
287	0.3046795175
288	0.3044202018
289	0.3041870864
290	0.3039540005
291	0.3036140515
292	0.3032341577
293	0.3028253208
294	0.3026366415
295	0.302356859
296	0.3020538215
297	0.3017708124
298	0.3012989615
299	0.3008764003
300	0.3005266626
301	0.3002046775
302	0.2999538673
303	0.2996500624
304	0.2994223547
305	0.2990011835
306	0.2985808639
307	0.2982685867
308	0.2979963601
309	0.297861547
310	0.2975999361
311	0.2972870501
312	0.2969070791
313	0.2966136963
314	0.2964538989
315	0.2961548956
316	0.2959566283
317	0.2957224751
318	0.2952496814
319	0.2950748485
320	0.2947365674
321	0.2945592539
322	0.2944129694
323	0.2940325056
324	0.29385619
325	0.2935009011
326	0.2933021103
327	0.2930713032
328	0.2928461065
329	0.2926032588
330	0.2923368354
33331	0.29927916433332	0.29885041133333	0.298467521334	0.2912729708
335	0.2911018797
336	0.2909374537
337	0.2908229358
338	0.290628155
339	0.2900930071
340	0.2896176875
341	0.2894274405
342	0.2891939203
343	0.2888645915
344344	0.29572139345345	0.29559571346346	0.29533401347347	0.29504115348348	0.29479853349	0.2871283638
350	0.2867380099
351	0.2865207058
352	0.2863414181
353	0.2861122641
354354	0.29310954355355	0.2928214944
356	0.2925780574
357	0.2922980358	358	0.2920648623
359	0.291725462
360	0.2913938896
361	0.291124355
362	0.29093992363363	0.29063294364	0.2835547801
365	0.2833348136
366	0.2829650508
367	0.2827689135
368	0.282558819
369	0.2821619282
370	0.2818982952
371	0.2815950847
372	0.2812538162
373	0.2810076278
374	0.2808041894
375	0.280696636
376	0.2803687156
377	0.2802247685
378	0.2801236431
379	0.2798357521
380	0.2796145608
381	0.279388505
382	0.27922138
383	0.278943196
384	0.2786205846
385	0.2783417915
386	0.2782631953
387	0.2781066261
388	0.2779729736
389	0.277684298
390	0.2775204589
391	0.2773536109
392	0.2769918371
393	0.2767204596
394	0.2764832164
395	0.2762266554
396	0.2759598686
397	0.2758373586
398	0.2756785301
399	0.2755367033
400	0.2753451362
401	0.2751806415
402	0.2749138385
403	0.2747336062
404	0.2743780509
405	0.2741036062
406	0.2738036875
407	0.2736408694
408	0.2733983218
409	0.273178416
410	0.2729050222
411	0.2726226265
412	0.2723335105
413	0.2720277913
414	0.2718451262
415	0.2715338041
416	0.2712366223
417	0.2709910897
418	0.2708113833
419	0.2706340217
420	0.2704335281
421	0.2702550806
422	0.2699370828
423	0.2697356261
424	0.2693805683
425	0.2691057634
426	0.2687993985
427	0.2686692325
428	0.268525327
429	0.268328356
430	0.268181392
431	0.2679100319
432	0.2675704994
433	0.2673560436
434	0.267199818
435	0.2669612307
436	0.266807699
437	0.266491593
438	0.2663636695
439	0.2661953369
440	0.2659723363
441	0.265858035
442	0.2656585686
443	0.265486356
