iter	Passed	Remaining
0	4	4681
1	9	4893
2	15	5075
3	19	4886
4	35	6969
5	41	6825
6	88	12562
7	139	17318
8	143	15815
9	147	14567
10	149	13457
112	139	10582113	142	10010114	144	9501
15	147	9056
16	149	8661
116	169	9806
17	176	9612
18	178	9217
19	181	8876
20	183	8563
22	22	210	8923
23	214	8741
24	217	8481
25	219	8241
26	222	8026	222	8013
27	225	7811
28	231	7753
29	234	7569
31	265	8026
32	267	7848
33	270	7679
34	272	7521
35	275	7377
36	278	7236
37	280	7103
38	283	6976
39	285	6853
40	288	6739
41	290	641	311	7114
42	314	6996
43	326	7092
44	345	388	845	346	391	746	447	395	747	448	403	7839
49	407	749	450	411	7662
51	514	9381
52	519	9290
53	523	9171
54	526	9039
55	540	9104
56	542	8977
57	545	8853
58	557	8885
59	560	8777
60	580	8930
61	584	8846
62	589	8771
63	613	8972
64	616	8870
65	620	8785
66	627	8731
67	639	8761
68	643	8683
69	646	8586
70	680	8908
71	683	8808
72	687	8729
73	730	9135
74	733	9044
75	737	8969
76	746	8952
77	751	8879
78	766	8930
79	778	8952
80	783	8888
81	789	8835
82	794	8774
83	828	9031
84	850	9154
85	854	9076
86	857	9001
87	867	8993
88	896	9177
89	911	9215
90	915	9149
91	940	9282
92	1011	9865
93	1015	9789
94	1020	9721
95	1024	9646
96	1030	9593
97	1034	9525
98	1038	9451
99	1046	9421
100	1051	9355
101	1066	9393
102	1069	9317
103	1073	9246
104	1075	9168
105	1079	9108
106	1082	9036
107	1085	8965
108	1101	9004
109	1104	8933
110	1106	8865
111	1111	8811
112	1139	8940
113	1142	8880
114	1145	8818
115	1150	8767
116	1188	8967
117	1190	8901
118	1225	9074
119	1230	9023
120	1258	9141
121	1262	9083
122	1267	9040
123	1281	9055
124	1286	9002
125	1290	8948
126	1301	8948
127	1305	8893
128	1331	8991
129	1338	8955
130	1341	8900
131	1345	8847
132	1362	8880
133	1370	8854
134	1384	8874
135	1388	8821
136	1394	8786
137	1398	8735
138	1411	8743
139	1426	8763
140	1430	8712
141	1452	8778
142	1456	8731
143	1461	8688
144	1466	8646
145	1473	8621
146	1507	8748
147	1552	8938
148	1565	8938
149	1568	8887
150	1572	8838
151	1629	9090
152	1634	9047
153	1639	9008
154	1643	8959
155	1647	8912
156	1652	8873
157	1657	8830
158	1662	8791
159	1666	8750
160	1751	9127
161	1754	9074
162	1758	9027
163	1761	8978
164	1786	9042
165	1798	9036
166	1802	8990
167	1808	8958
168	1816	8933
169	1819	8882
170	1823	8840
171	1835	8836
172	1839	8792
173	1842	8747
174	1877	8851
175	1899	8894
176	1945	9048
177	1966	9083
178	2002	9184
179	2005	9137
180	2009	9093
181	2014	9054
182	2021	9024
183	2024	8976
184	2026	8928
185	2029	8880
186	2090	9090
187	2098	9061
188	2102	9020
189	2114	9012
190	2118	8972
191	2130	8967
192	2134	8924
193	2143	8904
